1,,1.,1,C8,Авербандщик,Авербандчи,8264,П,2 — 5,ССПО,3320900,Averbandchi,i,1
2,,2.,2,C8,Авиационный механик (техник) по обслуживанию и ремонту воздушных судов.,Ҳаво кемаларига хизмат кўрсатиш ва уларни таъмирлаш бўйича авиация механиги (техник),7232,П,2 — 6,ССПО,3310400,havo kemalariga xizmat ko‘rsatish va ularni ta’mirlash bo‘yicha aviatsiya mexanigi (texnik),i,2
3,,3.,3,C8,Авиационный механик перронно-технической бригады (ПТБ) аэропорта,Аэропорт перрон-техника бригадаси авиация механиги,7232,П,2 — 6,ССПО,3310400,Aeroport perron-texnika brigadasi aviatsiya mexanigi,i,3
4,,4.,4,C8,Авиационный механик (техник) по планеру и двигателям,Планер ва двигателлар бўйича авиация механиги (техник),7232,П,2 — 6,ССПО,3310400,Planer va dvigatellar bo‘yicha aviatsiya mexanigi (texnik),i,4
5,,5.,5,C8,Авиационный механик (техник) по приборам и электрооборудованию,Приборлар ва электр жихозлар бўйича авиация механиги (техник),7232,П,2 — 6,ССПО,3310400,Priborlar va elektr jixoz lar bo‘yicha aviatsiya mexanigi (texnik),i,5
6,,6.,6,C8,Авиационный механик (техник) по радиооборудованию,Радио жихозлар бўйича авиация механиги (техник),7232,П,2 — 6,ССПО,3310400,Radio jixoz lar bo‘yicha aviatsiya mexanigi (texnik),i,6
7,,7.,7,C8,Авиационный техник (механик) по парашютным и аварийно-спасательным средствам,Парашют ва авария-қутқарув воситалари бўйича авиация техниги (механик),7232,П,4 — 6,ССПО,3310400,Parashyut va avariya-qutqaruv vositalari bo‘yicha aviatsiya texnigi (mexanik),i,7
8,,8.,8,C8,Авиационный техник по горюче-смазочным материалам,Ёқилғи-мойлаш материаллари бўйича авиация техниги,7232,П,3 — 5,ССПО,3310400,Yoqilg‘i-moylash materiallari bo‘yicha aviatsiya texnigi,i,8
9,,9.,9,C8,Автоклавщик в гидролизном производстве,Гидролиз ишлаб чиқаришда автоклавчи,8152,П,3 — 4,ССПО,3320400,Gidroliz ishlab chiqarishda avtoklavchi,i,9
10,,10.,10,C8,Автоклавщик в производстве стекла и стеклоизделий,Шиша ва шиша буюмлар ишлаб чиқаришда автоклавчи,8132,П,3 — 4,ССПО,"3340500, 3340200, 3320400",Shisha va shisha buyumlar ishlab chiqarishda avtoklavchi,i,10
11,,11.,11,C8,Автоклавщик в производстве теплоизоляционных материалов,Теплоизоляция материаллари ишлаб чиқаришда автоклавчи,8139,П,4,ССПО,3340500,Teploizolyatsiya materiallari ishlab chiqarishda avtoklavchi,i,11
12,,12.,12,C8,Автоклавщик литья под давлением,Босим остида қуйиш автоклавчиси,8122,П,3,ССПО,3310300,Bosim ostida quyish avtoklavchisi,i,12
13,,13.,13,C8,Автоклавщик на запарке брикетов,Брикетларни буғлаш автоклавчиси,8112,П,3,ССПО,3311600,Briketlarni Bug‘lash avtoklavchisi,i,13
14,,14.,14,C8,Автоклавщик-сушильщик Аккумуляторных пластин в производстве свинцовых Аккумуляторов,Қўрғошинли аккумуляторлар ишлаб чиқаришда аккумулятор пластиналари автоклавчи-қуритувчиси,8290,П,2 — 3,ССПО,"3310300, 3320400",qo‘rg‘oshinli Akkumulyatorlar ishlab chiqarishda Akkumulyator plastinalari avtoklavchi-qurituvchisi,i,14
15,,15.,15,C8,Автоматчик вязальных автоматов,Тўқиш автоматлари автоматчиси,8262,П,3 — 4,ССПО,3320900,To‘qish avtomatlari avtomatchisi,i,15
16,,16.,16,C8,Автоматчик игольно-платинных изделий,Игна-платина буюмлар автоматчиси,8123,П,2 — 4,ССПО,3310300,Igna-platina buyumlar avtomatchisi,i,16
17,,17.,17,C8,Автоматчик картонажного производства,Картонаж ишлаб чиқариш автоматчиси,8143,П,1 — 4,ССПО,"3340500, 3320800",Kartonaj ishlab chiqarish avtomatchisi,i,17
18,,18.,18,C8,Автоматчик клеильных полуавтоматов,Елимлаш яримавтоматлари автоматчиси,8142,П,3 — 5,ССПО,В зависимости от сферы применения знаний,Elimlash yarimavtomatlari avtomatchisi,i,18
