nid,strvalue,deleted,ncountryareaid,kladr
28,"{""ru_RU"": ""УКДОВД г.Фергана"", ""uz_UZ"": ""Фарғона шаҳар ИИО (ФМБ)""}",,15,15:20
29,"{""ru_RU"": ""УКДОВД г.Коканда"", ""uz_UZ"": ""Қўқон шаҳар  ИИО (ФМБ)""}",,15,15:16
30,"{""ru_RU"": ""ГОВД г.Кувасай"", ""uz_UZ"": ""Қувасой шаҳар""}",,15,15:18
31,"{""ru_RU"": ""ГОВД г.Маргилана"", ""uz_UZ"": ""Марғилон шаҳар""}",,15,15:19
32,"{""ru_RU"": ""РОВД Алтиарикского р-на"", ""uz_UZ"": ""Олтиариқ тумани""}",,15,15:07
33,"{""ru_RU"": ""РОВД Куштепинского р-на"", ""uz_UZ"": ""Қўштепа тумани""}",,15,15:08
34,"{""ru_RU"": ""РОВД Багдадского р-на"", ""uz_UZ"": ""Боғдод тумани""}",,15,15:01
35,"{""ru_RU"": ""РОВД Бувайдинского р-на"", ""uz_UZ"": ""Бувайда тумани""}",,15,15:03
36,"{""ru_RU"": ""РОВД Бешарикского р-на"", ""uz_UZ"": ""Бешариқ тумани""}",,15,15:02
37,"{""ru_RU"": ""РОВД Кувинского р-на"", ""uz_UZ"": ""Қува тумани""}",,15,15:06
38,"{""ru_RU"": ""РОВД Учкуприкского р-на"", ""uz_UZ"": ""Учкўприк тумани""}",,15,15:12
39,"{""ru_RU"": ""РОВД Риштанского р-на"", ""uz_UZ"": ""Риштон тумани""}",,15,15:21
40,"{""ru_RU"": ""РОВД Сохского р-на"", ""uz_UZ"": ""Сўх тумани""}",,15,15:10
41,"{""ru_RU"": ""РОВД Ташлакского р-на"", ""uz_UZ"": ""Тошлоқ тумани""}",,15,15:11
42,"{""ru_RU"": ""РОВД Узбекистанского р-на"", ""uz_UZ"": ""Ўзбекистон тумани""}",,15,15:15
43,"{""ru_RU"": ""РОВД Ферганского р-на"", ""uz_UZ"": ""Фарғона тумани""}",,15,15:13
44,"{""ru_RU"": ""РОВД Дангаринского р-на"", ""uz_UZ"": ""Данғара тумани""}",,15,15:04
45,"{""ru_RU"": ""РОВД Ёзванского р-на"", ""uz_UZ"": ""Ёзёвон тумани""}",,15,15:05
46,"{""ru_RU"": ""РОВД Фуркатского р-на"", ""uz_UZ"": ""Фурқат тумани""}",,15,15:14
47,"{""ru_RU"": ""ГОВД г.Нурафшон"", ""uz_UZ"": ""Нурафшон ш. ИББ""}",,11,11:21
48,"{""ru_RU"": ""УВД г. Чирчик"", ""uz_UZ"": ""Чирчик ш.ИИБ""}",,11,11:20
49,"{""ru_RU"": ""УВД Кибрайского р-на"", ""uz_UZ"": ""Кибрай т-ни ИИБ""}",,11,11:05
50,"{""ru_RU"": ""ОВД Бостанлыкского р-на"", ""uz_UZ"": ""Бостанлык т-ни ИИБ""}",,11,11:03
51,"{""ru_RU"": ""ОВД Паркентского р-на"", ""uz_UZ"": ""Паркент т-ни ИИБ""}",,11,11:09
52,"{""ru_RU"": ""ОВД Юкоричирчикского р-на"", ""uz_UZ"": ""Юкоричирчик т-ни ИИБ""}",,11,11:14
53,"{""ru_RU"": ""УВД г.Ангрен "", ""uz_UZ"": ""Ангрен ш. ИИБ""}",,11,11:16
