nid,strvalue,deleted,ndeptid,ovd_number
10,"{""ru_RU"": ""ОВД-1"", ""uz_UZ"": ""1-сонли ИИБ""}",f,117,1
11,"{""ru_RU"": ""ОВД-1"", ""uz_UZ"": ""1-сонли ИИБ""}",t,117,
12,"{""ru_RU"": ""ОВД-2"", ""uz_UZ"": ""2-сонли ИИБ""}",f,118,2
13,"{""ru_RU"": ""ОВД-3"", ""uz_UZ"": ""3-сонли ИИБ""}",f,118,3
14,"{""ru_RU"": ""ОВД-4"", ""uz_UZ"": ""4-сонли ИИБ""}",f,118,4
15,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,119,0
16,"{""ru_RU"": ""ОВД-11"", ""uz_UZ"": ""11-сонли ИИБ""}",f,120,11
17,"{""ru_RU"": ""ОВД-5"", ""uz_UZ"": ""5-сонли ИИБ""}",f,121,5
18,"{""ru_RU"": ""ОВД-6"", ""uz_UZ"": ""6-сонли ИИБ""}",f,122,6
19,"{""ru_RU"": ""ОВД-7"", ""uz_UZ"": ""7-сонли ИИБ""}",f,123,7
20,"{""ru_RU"": ""ОВД-8"", ""uz_UZ"": ""8-сонли ИИБ""}",f,124,8
21,"{""ru_RU"": ""ОВД-9"", ""uz_UZ"": ""9-сонли ИИБ""}",f,125,9
22,"{""ru_RU"": ""ОВД-10"", ""uz_UZ"": ""10-сонли ИИБ""}",f,127,10
23,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,128,0
24,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,129,0
25,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,130,0
26,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,131,0
27,"{""ru_RU"": ""ОВД-2"", ""uz_UZ"": ""2-сонли ИИБ""}",f,117,2
28,"{""ru_RU"": ""ОВД-3"", ""uz_UZ"": ""3-сонли ИИБ""}",f,117,3
29,"{""ru_RU"": ""ОВД-1"", ""uz_UZ"": ""1-сонли ИИБ""}",f,115,1
30,"{""ru_RU"": ""ОВД-2"", ""uz_UZ"": ""2-сонли ИИБ""}",f,115,2
31,"{""ru_RU"": ""ОВД-3"", ""uz_UZ"": ""3-сонли ИИБ""}",f,115,3
32,"{""ru_RU"": ""ОВД-4"", ""uz_UZ"": ""4-сонли ИИБ""}",f,115,4
33,"{""ru_RU"": ""ОВД-4"", ""uz_UZ"": ""4-сонли ИИБ""}",f,132,4
34,"{""ru_RU"": ""ОВД-5"", ""uz_UZ"": ""5-сонли ИИБ""}",f,133,5
35,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,134,0
36,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,135,0
37,"{""ru_RU"": ""ОВД-6"", ""uz_UZ"": ""6-сонли ИИБ""}",f,136,6
38,"{""ru_RU"": ""ОВД-7"", ""uz_UZ"": ""7-сонли ИИБ""}",f,136,7
39,"{""ru_RU"": ""ОВД-8"", ""uz_UZ"": ""8-сонли ИИБ""}",f,137,8
40,"{""ru_RU"": ""ОВД-13"", ""uz_UZ"": ""13-сонли ИИБ""}",f,138,13
41,"{""ru_RU"": ""ОВД-14"", ""uz_UZ"": ""14-сонли ИИБ""}",f,138,14
42,"{""ru_RU"": ""ОВД-9"", ""uz_UZ"": ""9-сонли ИИБ""}",f,139,9
43,"{""ru_RU"": ""ОВД-10"", ""uz_UZ"": ""10-сонли ИИБ""}",f,140,10
44,"{""ru_RU"": ""ОВД-11"", ""uz_UZ"": ""11-сонли ИИБ""}",f,141,11
45,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,142,0
46,"{""ru_RU"": ""ОВД-12"", ""uz_UZ"": ""12-сонли ИИБ""}",f,143,12
47,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,144,0
48,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,145,0
49,"{""ru_RU"": ""ОВД-1"", ""uz_UZ"": ""1-сонли ИИБ""}",f,146,1
50,"{""ru_RU"": ""ОВД-2"", ""uz_UZ"": ""2-сонли ИИБ""}",f,146,2
51,"{""ru_RU"": ""ОВД-3"", ""uz_UZ"": ""3-сонли ИИБ""}",f,146,3
52,"{""ru_RU"": ""ОВД-4"", ""uz_UZ"": ""4-сонли ИИБ""}",f,146,4
53,"{""ru_RU"": ""ОВД-5"", ""uz_UZ"": ""5-сонли ИИБ""}",f,146,5
54,"{""ru_RU"": ""ОВД-6"", ""uz_UZ"": ""6-сонли ИИБ""}",f,146,6
55,"{""ru_RU"": ""ОВД-7"", ""uz_UZ"": ""7-сонли ИИБ""}",f,146,7
56,"{""ru_RU"": ""ОВД-8"", ""uz_UZ"": ""8-сонли ИИБ""}",f,146,8
57,"{""ru_RU"": ""ОВД-9"", ""uz_UZ"": ""9-сонли ИИБ""}",f,146,9
58,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,147,0
59,"{""ru_RU"": ""ОВД-10"", ""uz_UZ"": ""10-сонли ИИБ""}",f,148,10
60,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,149,0
61,"{""ru_RU"": ""ОВД-11"", ""uz_UZ"": ""11-сонли ИИБ""}",f,150,11
62,"{""ru_RU"": ""ОВД-12"", ""uz_UZ"": ""12-сонли ИИБ""}",f,151,12
63,"{""ru_RU"": ""ОВД-13"", ""uz_UZ"": ""13-сонли ИИБ""}",f,151,13
64,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,152,0
65,"{""ru_RU"": ""ОВД-15"", ""uz_UZ"": ""15-сонли ИИБ""}",f,153,15
66,"{""ru_RU"": ""ОВД-16"", ""uz_UZ"": ""16-сонли ИИБ""}",f,153,16
67,"{""ru_RU"": ""ОВД-9"", ""uz_UZ"": ""9-сонли ИИБ""}",f,154,9
68,"{""ru_RU"": ""ОВД-17"", ""uz_UZ"": ""17-сонли ИИБ""}",f,155,17
69,"{""ru_RU"": ""ОВД-18"", ""uz_UZ"": ""18-сонли ИИБ""}",f,155,18
70,"{""ru_RU"": ""ОВД-19"", ""uz_UZ"": ""19-сонли ИИБ""}",f,156,19
71,"{""ru_RU"": ""ОВД-20"", ""uz_UZ"": ""20-сонли ИИБ""}",f,156,20
72,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,157,0
73,"{""ru_RU"": ""ОВД-21"", ""uz_UZ"": ""21-сонли ИИБ""}",f,158,21
74,"{""ru_RU"": ""ОВД-22"", ""uz_UZ"": ""22-сонли ИИБ""}",f,158,22
75,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",f,159,0
76,"{""ru_RU"": ""ОВД-1"", ""uz_UZ"": ""1-сонли ИИБ""}",f,160,1
77,"{""ru_RU"": ""ОВД-2"", ""uz_UZ"": ""2-сонли ИИБ""}",f,160,2
78,"{""ru_RU"": ""ОВД-3"", ""uz_UZ"": ""3-сонли ИИБ""}",f,160,3
79,"{""ru_RU"": ""ОВД-4"", ""uz_UZ"": ""4-сонли ИИБ""}",f,160,4
80,"{""ru_RU"": ""ОВД-5"", ""uz_UZ"": ""5-сонли ИИБ""}",f,160,5
81,"{""ru_RU"": ""ОВД-6"", ""uz_UZ"": ""6-сонли ИИБ""}",f,160,6
82,"{""ru_RU"": ""ОВД-14"", ""uz_UZ"": ""14-сонли ИИБ""}",f,161,14
83,"{""ru_RU"": ""ОВД-1"", ""uz_UZ"": ""1-сонли ИИБ""}",f,179,1
84,"{""ru_RU"": ""ОВД-2"", ""uz_UZ"": ""2-сонли ИИБ""}",f,179,2
85,"{""ru_RU"": ""ОВД-3"", ""uz_UZ"": ""3-сонли ИИБ""}",f,179,3
86,"{""ru_RU"": ""ОВД-4"", ""uz_UZ"": ""4-сонли ИИБ""}",f,179,4
87,"{""ru_RU"": ""ОВД-7"", ""uz_UZ"": ""7-сонли ИИБ""}",f,180,7
88,"{""ru_RU"": ""ОВД-8"", ""uz_UZ"": ""8-сонли ИИБ""}",f,180,8
89,"{""ru_RU"": ""ОВД-9"", ""uz_UZ"": ""9-сонли ИИБ""}",f,180,9
90,"{""ru_RU"": ""ОВД-5"", ""uz_UZ"": ""5-сонли ИИБ""}",f,181,5
91,"{""ru_RU"": ""ОВД-6"", ""uz_UZ"": ""6-сонли ИИБ""}",f,181,6
92,"{""ru_RU"": ""ОВД-1"", ""uz_UZ"": ""1-сонли ИИБ""}",f,182,1
93,"{""ru_RU"": ""ОВД-2"", ""uz_UZ"": ""2-сонли ИИБ""}",f,182,2
94,"{""ru_RU"": ""ОВД-3"", ""uz_UZ"": ""3-сонли ИИБ""}",f,182,3
95,"{""ru_RU"": ""ОВД-4"", ""uz_UZ"": ""4-сонли ИИБ""}",f,182,4
96,"{""ru_RU"": ""ОВД-3"", ""uz_UZ"": ""3-сонли ИИБ""}",f,183,3
97,"{""ru_RU"": ""ОВД-4"", ""uz_UZ"": ""4-сонли ИИБ""}",f,183,4
98,"{""ru_RU"": ""ОВД-13"", ""uz_UZ"": ""13-сонли ИИБ""}",f,190,13
104,"{""ru_RU"": ""ОВД  №1"", ""uz_UZ"": ""1-сон ИИБ""}",,28,1
105,"{""ru_RU"": ""ОВД №2"", ""uz_UZ"": ""2-сон ИИБ""}",,28,2
106,"{""ru_RU"": ""ОВД №3"", ""uz_UZ"": ""3-сон ИИБ""}",,28,3
107,"{""ru_RU"": ""ОВД №4"", ""uz_UZ"": ""4-сон ИИБ""}",,28,4
108,"{""ru_RU"": ""ОВД  №1"", ""uz_UZ"": ""1-сон ИИБ""}",,29,1
109,"{""ru_RU"": ""ОВД №2"", ""uz_UZ"": ""2-сон ИИБ""}",,29,2
110,"{""ru_RU"": ""ОВД №3"", ""uz_UZ"": ""3-сон ИИБ""}",,29,3
111,"{""ru_RU"": ""ОВД №4"", ""uz_UZ"": ""4-сон ИИБ""}",,29,4
112,"{""ru_RU"": ""ГОВД"", ""uz_UZ"": ""ИИБ""}",,30,0
113,"{""ru_RU"": ""ОВД №3"", ""uz_UZ"": ""3-сон ИИБ""}",,30,3
114,"{""ru_RU"": ""ГОВД"", ""uz_UZ"": ""ИИБ""}",,31,0
115,"{""ru_RU"": ""ОВД №4"", ""uz_UZ"": ""4-сон ИИБ""}",,31,4
116,"{""ru_RU"": ""ОВД №16"", ""uz_UZ"": ""16-сон ИИБ""}",,32,16
117,"{""ru_RU"": ""ОВД №5"", ""uz_UZ"": ""5-сон ИИБ""}",,33,5
118,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",,34,0
119,"{""ru_RU"": ""ОВД №6"", ""uz_UZ"": ""6-сон ИИБ""}",,35,6
120,"{""ru_RU"": ""ОВД №7"", ""uz_UZ"": ""7-сон ИИБ""}",,36,7
121,"{""ru_RU"": ""ОВД №8"", ""uz_UZ"": ""8-сон ИИБ""}",,37,8
122,"{""ru_RU"": ""ОВД №9"", ""uz_UZ"": ""9-сон ИИБ""}",,38,9
123,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",,39,0
124,"{""ru_RU"": ""ОВД №10"", ""uz_UZ"": ""10-сон ИИБ""}",,40,10
125,"{""ru_RU"": ""ОВД №11"", ""uz_UZ"": ""11-сон ИИБ""}",,40,11
126,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",,41,0
127,"{""ru_RU"": ""ОВД №12"", ""uz_UZ"": ""12-сон ИИБ""}",,42,12
128,"{""ru_RU"": ""ОВД №13"", ""uz_UZ"": ""13-сон ИИБ""}",,43,13
129,"{""ru_RU"": ""ОВД №14"", ""uz_UZ"": ""14-сон ИИБ""}",,43,14
130,"{""ru_RU"": ""ОВД №15"", ""uz_UZ"": ""15-сон ИИБ""}",,44,15
131,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",,45,0
132,"{""ru_RU"": ""Нет ОВД"", ""uz_UZ"": ""ИИБ йук""}",,46,0
