uuid,name,parentid,soatoid,extid,ovirid
827c5de0-cd06-445b-96c2-3067b1927069,Андижанская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,17,17,17
56bea03e-764e-4e04-9de0-528810177aad,Бухарская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,20,20,20
e1e75f54-0d2d-42d4-993d-0f69c64b8d15,Джизакская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,13,13,13
adc9cf99-7810-49aa-9509-617c4f240c7f,Кашкадарьинская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,18,18,18
9c6033ca-7c00-41a3-81c9-2017210e7727,Навоиская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,21,21,21
3edbada6-7d3f-4291-a003-61b9d82f9496,Наманганская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,16,16,16
e4d831f3-9ce3-4201-81d1-dcb5fa0ae845,Республика Каракалпакстан,0e1c82c0-aadd-4eb8-b4da-6343188170a5,23,23,23
b0ec35e2-4b94-4e04-b5b8-f786de08d855,Самаркандская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,14,14,14
e33c7e49-f4f8-4269-a5d4-8952bd54f57a,Сурхандарьинская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,19,19,19
35f5f075-5766-414c-8d81-ca88faa099af,Сырдарьинская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,12,12,12
b7c00816-aeaa-4427-becf-d16fcd6c67ed,Ташкентская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,11,11,11
405cf1cd-7a93-4443-8970-99d9264ccc1a,Ферганская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,15,15,15
9b3a75c9-b02e-478f-983c-ce269ee3cb20,Хорезмская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,22,22,22
22af9341-ddad-48cb-b1a8-4e809f0de311,г. Ташкент,0e1c82c0-aadd-4eb8-b4da-6343188170a5,10,10,10
