objectid,region_name,countryside_name,parent_code,district_name,district_id,countryside_id_main,shape_Length,shape_Area,name_standardized_main,tin,name,countryside_id_new,sector,name_standardized_new,name_match
1,Andijon viloyati,Barkamol MFY,1703,Andijon shahar,1703401,1703401001.0,2606.0022124184,378264.3677093879,barkamol mfy,,,,,,
2,Andijon viloyati,Qoratut MFY,1703,Andijon shahar,1703401,1703401008.0,3789.6520354678,576801.3422380753,qoratut mfy,,,,,,
3,Andijon viloyati,O`rikzor MFY,1703,Andijon shahar,1703401,1703401016.0,5466.4537663217,927833.7046976688,orikzor mfy,,,,,,
4,Andijon viloyati,O'zbekiston 20 yiligi MFY,1703,Andijon shahar,1703401,1703401015.0,9682.7123940807,1526700.4304001357,ozbekiston 20 yiligi mfy,202691321.0,OʻZBEKISTON 20 YILLIGI,1279.0,1.0,ozbekiston 20 yilligi,ozbekiston 20 yiligi mfy
5,Andijon viloyati,Navbahor MFY,1703,Andijon shahar,1703401,1703401006.0,4537.977360049,1004876.8323150774,navbahor mfy,202311040.0,NAVBAHOR ,1273.0,1.0,navbahor,navbahor mfy
6,Andijon viloyati,Islomobod MFY,1703,Andijon shahar,1703401,1703401029.0,6489.6049716759,1576644.7432067124,islomobod mfy,202834711.0,ISLOMOBOD,1289.0,2.0,islomobod,islomobod mfy
7,Andijon viloyati,Taraqqiyot MFY,1703,Andijon shahar,1703401,1703401020.0,2177.2741656584,190358.0383482479,taraqqiyot mfy,202270061.0,TARAQQIYOT ,1297.0,2.0,taraqqiyot,taraqqiyot mfy
8,Andijon viloyati,Xamkorlik MFY,1703,Andijon shahar,1703401,1703401034.0,8923.7397562372,1501232.7327499064,hamkorlik mfy,202716224.0,HAMKORLIK,1300.0,2.0,hamkorlik,hamkorlik mfy
9,Andijon viloyati,Ishchilar MFY,1703,Andijon shahar,1703401,1703401030.0,4929.4932877073,1071845.5280864723,ishchilar mfy,202727829.0,ISHCHILAR,1290.0,2.0,ishchilar,ishchilar mfy
10,Andijon viloyati,Axmad-Yassaviy MFY,1703,Andijon shahar,1703401,1703401022.0,5646.2328092802,1291753.4617704926,ahmadyassaviy mfy,304954369.0,AHMAD-YASSAVIY,1284.0,2.0,ahmadyassaviy,ahmadyassaviy mfy
11,Andijon viloyati,Ma'rifat MFY,1703,Andijon shahar,1703401,1703401049.0,8481.4210369504,2160068.2748282584,marifat mfy,,,,,,
12,Andijon viloyati,Paxtakor MFY,1703,Andijon shahar,1703401,1703401071.0,11122.0633065784,3674987.859810298,pahtakor mfy,202752331.0,PAXTAKOR,1335.0,4.0,pahtakor,pahtakor mfy
13,Andijon viloyati,Do‘stlik MFY,1703,Andijon shahar,1703401,1703401005.0,5114.7239614313,1277579.2890763471,dostlik mfy,,,,,,
14,Andijon viloyati,Sho‘rbuloq MFY,1703,Andijon shahar,1703401,1703401027.0,7542.1375383609,2382070.507643815,shorbuloq mfy,206579979.0,SHOʻRBULOQ,1301.0,2.0,shorbuloq,shorbuloq mfy
15,Andijon viloyati,Oʻzbekiston MFY,1703,Andijon shahar,1703401,1703401014.0,7216.2227477549,2048236.646308464,ozbekiston mfy,202721820.0,OʻZBEKISTON,1278.0,1.0,ozbekiston,ozbekiston mfy
16,Andijon viloyati,Sanoat MFY,1703,Andijon shahar,1703401,1703401011.0,8171.6395894524,2209452.0413594446,sanoat mfy,,,,,,
17,Andijon viloyati,Maorif MFY,1703,Andijon shahar,1703401,1703401032.0,4198.1489824177,1058097.685428581,maorif mfy,,,,,,
18,Andijon viloyati,Dexqonobod MFY,1703,Andijon shahar,1703401,1703401064.0,6029.2188158253,1656290.1130781053,dehqonobod mfy,203077538.0,DEHQONOBOD,1327.0,4.0,dehqonobod,dehqonobod mfy
19,Andijon viloyati,Mustaqillikning 21 yilligi MFY,1703,Andijon shahar,1703401,1703401081.0,7976.5667487693,2067891.5704931207,mustaqillikning 21 yilligi mfy,207233578.0,MUSTAQILLKNING 21 YILLIGI,1330.0,4.0,mustaqillkning 21 yilligi,mustaqillikning 21 yilligi mfy
