objectid,region_id,region_name,district_id,district_name,countryside_id,countryside_name,countryside_id_cadastre,countryside_name_cadastre,countryside_id_soato,countryside_name_soato,shape_Length,shape_Area,tin,sector
1,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:001,Barkamol MFY,1703401001,Barkamol MFY,0,,2606,378264,0,0
2,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:008,Qoratut MFY,1703401008,Qoratut MFY,1271,QORATUT,3789,576801,202691314,1
3,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:016,O`rikzor MFY,1703401016,O`rikzor MFY,1280,OʻRIKZOR ,5466,927833,305186445,1
4,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:015,O'zbekiston 20 yiligi MFY,1703401015,O'zbekiston 20 yiligi MFY,1279,OʻZBEKISTON 20 YILLIGI,9682,1526700,202691321,1
5,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:006,Navbahor MFY,1703401006,Navbahor MFY,1273,NAVBAHOR ,4537,1004876,202311040,1
6,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:029,Islomobod MFY,1703401029,Islomobod MFY,1289,ISLOMOBOD,6489,1576644,202834711,2
7,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:020,Taraqqiyot MFY,1703401020,Taraqqiyot MFY,1297,TARAQQIYOT ,2177,190358,202270061,2
8,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:034,Xamkorlik MFY,1703401034,Xamkorlik MFY,1300,HAMKORLIK,8923,1501232,202716224,2
9,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:030,Ishchilar MFY,1703401030,Ishchilar MFY,1290,ISHCHILAR,4929,1071845,202727829,2
10,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:022,Axmad-Yassaviy MFY,1703401022,Axmad-Yassaviy MFY,1284,AHMAD-YASSAVIY,5646,1291753,304954369,2
11,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:049,Ma'rifat MFY,1703401049,Ma'rifat MFY,1314,MAʻRIFAT,8481,2160068,203665050,3
12,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:071,Paxtakor MFY,1703401071,Paxtakor MFY,1335,PAXTAKOR,11122,3674987,202752331,4
13,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:005,Do‘stlik MFY,1703401005,Do‘stlik MFY,1268,DOʻSTLIK,5114,1277579,202720269,1
14,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:027,Sho‘rbuloq MFY,1703401027,Sho‘rbuloq MFY,1301,SHOʻRBULOQ,7542,2382070,206579979,2
15,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:014,Oʻzbekiston MFY,1703401014,Oʻzbekiston MFY,1278,OʻZBEKISTON,7216,2048236,202721820,1
16,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:011,Sanoat MFY,1703401011,Sanoat MFY,1275,SANOAT,8171,2209452,202638052,1
17,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:032,Maorif MFY,1703401032,Maorif MFY,1293,MAORIF,4198,1058097,202766155,2
18,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:064,Dexqonobod MFY,1703401064,Dexqonobod MFY,1327,DEHQONOBOD,6029,1656290,203077538,4
19,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:081,Mustaqillikning 21 yilligi MFY,1703401081,Mustaqillikning 21 yilligi MFY,1330,MUSTAQILLKNING 21 YILLIGI,7976,2067891,207233578,4
20,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:076,Cholpon 100 yiligi MFY,1703401076,Cholpon 100 yiligi MFY,1344,CHOʻLPON 100-YILLIGI,7989,1730592,202638044,4
21,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:028,Guliston MFY,1703401028,Guliston MFY,1288,GULISTON,5106,995694,202742289,2
22,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:010,Pistamozor MFY,1703401010,Pistamozor MFY,1274,PISTAMOZOR,3976,514248,205293213,1
23,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:026,Bo‘ston MFY,1703401026,Bo‘ston MFY,1287,BOʻSTON,5712,1288260,202742408,2
24,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:019,Mash‘al MFY,1703401019,Mash‘al MFY,1294,MASHʻAL,2904,250128,202671931,2
25,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:063,Dalvarzin MFY,1703401063,Dalvarzin MFY,1326,DALVARZIN,9580,2254037,202973319,4
26,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:037,Sadoqat MFY,1703401037,Sadoqat MFY,0,,8178,2733055,0,0
27,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:007,Iqbol MFY,1703401007,Iqbol MFY,0,,3093,504336,0,0
28,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:080,Safoiy MFY,1703401080,Safoiy MFY,1338,SAFOIY,3623,639795,303965814,4
29,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:002,Bog‘i eram MFY,1703401002,Bog‘i eram MFY,1265,BOG'I ERAM,8148,2725758,203089482,1
30,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:044,Yorboshi MFY,1703401044,Yorboshi MFY,1307,YORBOSHI,10772,2974524,202589185,3
31,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:017,Yangi xayot MFY,1703401017,Yangi xayot MFY,0,,7978,1516301,0,0
32,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:003,Bog‘ishamol MFY,1703401003,Bog‘ishamol MFY,1266,BOGʻI-SHAMOL,18123,9001871,202756033,1
33,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:004,Buyuk Ipak yo'li MFY,1703401004,Buyuk Ipak yo'li MFY,1267,BUYUK IPAK YOʻLI,7989,3231696,206847415,1
34,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:033,Mirpo'stin MFY,1703401033,Mirpo'stin MFY,1295,MIRPOʻSTIN,13010,3089979,202671948,2
35,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:082,Sadda MFY,1703401082,Sadda MFY,1336,SADDA,4852,936631,305018050,4
36,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:051,Obod MFY,1703401051,Obod MFY,1315,OBOD,9087,3304942,202681405,3
37,1703,Andijon viloyati,1703:401,Andijon shahar,1703:401:079,Sarvontepa MFY,1703401079,Sarvontepa MFY,1337,SARVONTEPA,6222,1166850,305003008,4
