uuid,name_district,parentid,soatoid,extid,ovirid,matched_name,id_district_e_hukumat,name_district_e_hukumat
355b76b4-72cf-4987-9451-e0089636940f,Алмазарский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:08:00,124,1012.0,Алмазарский район,1726280,Алмазарский район
9b84361a-9ef2-4dfe-a92b-81e8bf3c6fe6,Бектемирский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,42,1011.0,Бектемирский район,1726264,Бектемирский район
91a39eff-4da6-46c1-a87f-b8b6dee93edf,Мирабадский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,109,1009.0,Мирабадский район,1726273,Мирабадский район
fbcddd5b-24d8-477e-a632-2b1565a8f84d,Мирзо-Улугбекский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,107,1003.0,Мирзо Улугбекский район,1726269,Мирзо Улугбекский район
f2f6b40b-096d-4712-be06-e003cb4b0d2c,Сергелийский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:06:00,145,1008.0,Сергелийский район,1726283,Сергелийский район
3f28ed5d-54f0-459c-98f2-647d59c99eb7,Учтепинский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:01:00,168,1001.0,Учтепинский район,1726262,Учтепинский район
e6dc0e3e-d3d8-45bc-9b8a-27e44d201f30,Чиланзарский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:03:00,179,1007.0,Чиланзарский район,1726294,Чиланзарский район
3fef5d77-22f6-42ec-b0a9-57cc17849556,Шайхантахурский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:10:00,185,1006.0,Шайхантахурский район,1726277,Шайхантахурский район
3d253583-f088-42f3-8544-e9beb4d706a0,Юнусабадский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,196,1010.0,Юнусабадский район,1726266,Юнусабадский район
a2b6a3d4-9b31-4391-a64a-4d94c2f7049c,Яккасарайский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,198,1005.0,Яккасарайский район,1726287,Яккасарайский район
a8b05747-e559-4505-ba50-b25de0a3a001,Яшнабадский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,204,7390001080.0,Яшнабадский район,1726290,Яшнабадский район
dde7e465-f9a8-46a4-860c-0a85d1e9c52f,Аккурганский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,122,1106.0,Аккурганский район,1727206,Аккурганский район
5d4895b1-87ef-4d96-8354-4b74b7785237,Ахангаранский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,129,1110.0,Ахангаранский район,1727212,Ахангаранский район
c3443ced-b63e-4d1a-8156-f1a93d2492ad,Бекабадский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,41,1111.0,Бекабадский район,1727220,Бекабадский район
7ee99479-602e-49eb-b08a-21454a6bbe32,Бостанлыкский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,54,1112.0,Бостанлыкский район,1727224,Бостанлыкский район
0edd3090-286b-447e-8e75-189d1401f966,Букинский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,50,1113.0,Букинский район,1727228,Букинский район
a5fc99b3-16e5-4e60-8240-f5bff529fdb3,Город Алмалык,b7c00816-aeaa-4427-becf-d16fcd6c67ed,11:18:00,22,1118.0,город Алмалык,1727404,город Алмалык
8dc90479-ab95-40f3-87c9-dbf8a3288eb4,Город Ангрен,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,19,1116.0,город Ангрен,1727407,город Ангрен
102129ad-d8c9-4ca4-8ec9-c2e35c099c01,Город Ахангаран,b7c00816-aeaa-4427-becf-d16fcd6c67ed,11:19:00,23,739001121.0,город Ахангаран,1727415,город Ахангаран
e1988588-5361-41d9-b283-08c14537adea,Город Бекабад,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,20,1214.0,город Бекабад,1727413,город Бекабад
e97eb8c4-9172-40b5-af85-d2f72e6dd295,Город Нурафшан,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,21,739001120.0,город Нурафшон,1727401,город Нурафшон
cd9e404d-1b94-4c80-b633-1c0e04dfbd81,Город Чирчик,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,24,1120.0,город Чирчик,1727419,город Чирчик
6f2e94a0-7fe5-49b1-bd46-dd149d784b64,Город Янгиюль,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,25,1122.0,город Янгиюль,1727424,город Янгиюль
db14aeee-6061-415f-ad23-834daad4854e,Зангиатинский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,71,1102.0,Зангиатинский район,1727237,Зангиатинский район
097c3c6c-23b0-44b7-960b-6fd0c0ff9fc6,Кибрайский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,88,1108.0,Кибрайский район,1727248,Кибрайский район
