objectid,region_name,countryside_name,parent_code,district_name,district_id,countryside_id,shape_Length,shape_Area
1,Andijon viloyati,Barkamol MFY,1703,Andijon shahar,1703401,1703401001,2606.0022124184,378264.3677093879
2,Andijon viloyati,Qoratut MFY,1703,Andijon shahar,1703401,1703401008,3789.6520354678,576801.3422380753
3,Andijon viloyati,O`rikzor MFY,1703,Andijon shahar,1703401,1703401016,5466.4537663217,927833.7046976687
4,Andijon viloyati,O'zbekiston 20 yiligi MFY,1703,Andijon shahar,1703401,1703401015,9682.7123940807,1526700.4304001357
5,Andijon viloyati,Navbahor MFY,1703,Andijon shahar,1703401,1703401006,4537.977360049,1004876.8323150774
6,Andijon viloyati,Islomobod MFY,1703,Andijon shahar,1703401,1703401029,6489.6049716759,1576644.7432067124
7,Andijon viloyati,Taraqqiyot MFY,1703,Andijon shahar,1703401,1703401020,2177.2741656584,190358.0383482479
8,Andijon viloyati,Xamkorlik MFY,1703,Andijon shahar,1703401,1703401034,8923.7397562372,1501232.7327499064
9,Andijon viloyati,Ishchilar MFY,1703,Andijon shahar,1703401,1703401030,4929.4932877073,1071845.5280864725
10,Andijon viloyati,Axmad-Yassaviy MFY,1703,Andijon shahar,1703401,1703401022,5646.2328092802,1291753.4617704926
11,Andijon viloyati,Ma'rifat MFY,1703,Andijon shahar,1703401,1703401049,8481.4210369504,2160068.2748282584
12,Andijon viloyati,Paxtakor MFY,1703,Andijon shahar,1703401,1703401071,11122.0633065784,3674987.859810298
13,Andijon viloyati,Do‘stlik MFY,1703,Andijon shahar,1703401,1703401005,5114.7239614313,1277579.2890763471
14,Andijon viloyati,Sho‘rbuloq MFY,1703,Andijon shahar,1703401,1703401027,7542.1375383609,2382070.507643815
15,Andijon viloyati,Oʻzbekiston MFY,1703,Andijon shahar,1703401,1703401014,7216.2227477549,2048236.6463084642
16,Andijon viloyati,Sanoat MFY,1703,Andijon shahar,1703401,1703401011,8171.6395894524,2209452.0413594446
17,Andijon viloyati,Maorif MFY,1703,Andijon shahar,1703401,1703401032,4198.1489824177,1058097.685428581
18,Andijon viloyati,Dexqonobod MFY,1703,Andijon shahar,1703401,1703401064,6029.2188158253,1656290.1130781053
19,Andijon viloyati,Mustaqillikning 21 yilligi MFY,1703,Andijon shahar,1703401,1703401081,7976.5667487693,2067891.5704931212
20,Andijon viloyati,Cholpon 100 yiligi MFY,1703,Andijon shahar,1703401,1703401076,7989.9551256737,1730592.1387178774
21,Andijon viloyati,Guliston MFY,1703,Andijon shahar,1703401,1703401028,5106.0797865776,995694.2768218059
22,Andijon viloyati,Pistamozor MFY,1703,Andijon shahar,1703401,1703401010,3976.4206240427,514248.517340611
23,Andijon viloyati,Bo‘ston MFY,1703,Andijon shahar,1703401,1703401026,5712.782649161,1288260.1737364163
24,Andijon viloyati,Mash‘al MFY,1703,Andijon shahar,1703401,1703401019,2904.6819282042,250128.3583452058
25,Andijon viloyati,Dalvarzin MFY,1703,Andijon shahar,1703401,1703401063,9580.0977295252,2254037.0639060354
26,Andijon viloyati,Sadoqat MFY,1703,Andijon shahar,1703401,1703401037,8178.2673116418,2733055.9645307385
27,Andijon viloyati,Iqbol MFY,1703,Andijon shahar,1703401,1703401007,3093.7027903527,504336.6723155788
28,Andijon viloyati,Safoiy MFY,1703,Andijon shahar,1703401,1703401080,3623.3880813011,639795.6277912159
29,Andijon viloyati,Bog‘i eram MFY,1703,Andijon shahar,1703401,1703401002,8148.478480956,2725758.9282202143
30,Andijon viloyati,Yorboshi MFY,1703,Andijon shahar,1703401,1703401044,10772.7787986481,2974524.685472825
31,Andijon viloyati,Yangi xayot MFY,1703,Andijon shahar,1703401,1703401017,7978.9445785537,1516301.0839819452
32,Andijon viloyati,Bog‘ishamol MFY,1703,Andijon shahar,1703401,1703401003,18123.1747534961,9001871.02177362
33,Andijon viloyati,Buyuk Ipak yo'li MFY,1703,Andijon shahar,1703401,1703401004,7989.4167323132,3231696.0113186794
34,Andijon viloyati,Mirpo'stin MFY,1703,Andijon shahar,1703401,1703401033,13010.249932413,3089979.8715164997
35,Andijon viloyati,Sadda MFY,1703,Andijon shahar,1703401,1703401082,4852.4064180109,936631.9290849551
36,Andijon viloyati,Obod MFY,1703,Andijon shahar,1703401,1703401051,9087.8185154556,3304942.094077862
37,Andijon viloyati,Sarvontepa MFY,1703,Andijon shahar,1703401,1703401079,6222.9525643037,1166850.9739768575
38,Andijon viloyati,Al-Buxoriy MFY,1703,Andijon shahar,1703401,1703401021,4399.1657835628,760257.2579934628
39,Andijon viloyati,Ozodlik MFY,1703,Andijon shahar,1703401,1703401070,4860.1097745972,1154806.979550342
40,Andijon viloyati,Namuna MFY,1703,Andijon shahar,1703401,1703401069,2502.4697641821,322785.6094968707
41,Andijon viloyati,Xo‘tanariq MFY,1703,Andijon shahar,1703401,1703401075,3507.5837356936,594679.2484530596
42,Andijon viloyati,Gʻayrat MFY,1703,Andijon shahar,1703401,1703401042,4441.3564167816,668397.7710515363
43,Andijon viloyati,Xamdoʻstlik MFY,1703,Andijon shahar,1703401,1703401065,4585.357602172,833650.2732973205
44,Andijon viloyati,Bekguzar MFY,1703,Andijon shahar,1703401,1703401059,8542.5704378372,2245464.8901955634
45,Andijon viloyati,Bobosadin MFY,1703,Andijon shahar,1703401,1703401025,3223.3980693596,496374.077960973
46,Andijon viloyati,Madaniyat MFY,1703,Andijon shahar,1703401,1703401066,6214.7494818549,970133.108677269
47,Andijon viloyati,Mexnat MFY,1703,Andijon shahar,1703401,1703401067,7231.6652899402,1344815.1533599007
48,Andijon viloyati,Saxovat MFY,1703,Andijon shahar,1703401,1703401053,4397.3027288122,866223.6119149292
49,Andijon viloyati,To‘qqiz ariq MFY,1703,Andijon shahar,1703401,1703401036,4416.2451797186,918102.9163644355
50,Andijon viloyati,Birlashgan MFY,1703,Andijon shahar,1703401,1703401024,2480.5136922975,261706.2462114329
51,Andijon viloyati,O`zgarish MFY,1703,Andijon shahar,1703401,1703401054,3558.8807893192,529862.6288240998
52,Andijon viloyati,Taxtakoʻprik MFY,1703,Andijon shahar,1703401,1703401035,6430.0405653432,1444347.9255471826
53,Andijon viloyati,Erkin MFY,1703,Andijon shahar,1703401,1703401078,3318.4385399461,431006.4128215207
54,Andijon viloyati,Maydonbozor MFY,1703,Andijon shahar,1703401,1703401048,3367.6786843634,584034.0339987068
55,Andijon viloyati,Shifokor MFY,1703,Andijon shahar,1703401,1703401056,3353.5174981024,583407.8898130845
56,Andijon viloyati,Istiqlol MFY,1703,Andijon shahar,1703401,1703401039,2714.1404777968,316856.1328049641
57,Andijon viloyati,Z.M.Bobur MFY,1703,Andijon shahar,1703401,1703401062,3855.9056781508,622021.886854363
58,Andijon viloyati,Birlik MFY,1703,Andijon shahar,1703401,1703401061,2547.7039131556,320527.2972406886
59,Andijon viloyati,Xunarmand MFY,1703,Andijon shahar,1703401,1703401050,3630.6701414865,510616.1644059957
