objectid,region_name,countryside_name,region_id,district_name,district_id,countryside_id_main,shape_Length,shape_Area,name_standardized_main,tin,name,countryside_id_new,sector,name_standardized_new,name_match
1,Andijon viloyati,Barkamol MFY,1703,Andijon shahar,1703401,1703401001.0,2606.0022124184,378264.3677093879,barkamol mfy,,,,,,
26,Andijon viloyati,Sadoqat MFY,1703,Andijon shahar,1703401,1703401037.0,8178.2673116418,2733055.9645307385,sadoqat mfy,,,,,,
27,Andijon viloyati,Iqbol MFY,1703,Andijon shahar,1703401,1703401007.0,3093.7027903527,504336.6723155788,iqbol mfy,,,,,,
31,Andijon viloyati,Yangi xayot MFY,1703,Andijon shahar,1703401,1703401017.0,7978.9445785537,1516301.0839819452,yangi hayot mfy,,,,,,
44,Andijon viloyati,Bekguzar MFY,1703,Andijon shahar,1703401,1703401059.0,8542.5704378372,2245464.8901955634,bekguzar mfy,,,,,,
57,Andijon viloyati,Z.M.Bobur MFY,1703,Andijon shahar,1703401,1703401062.0,3855.9056781508,622021.886854363,zmbobur mfy,,,,,,
59,Andijon viloyati,Xunarmand MFY,1703,Andijon shahar,1703401,1703401050.0,3630.6701414865,510616.1644059957,hunarmand mfy,,,,,,
65,Andijon viloyati,Sholdirama (10-son) MFY,1703,Andijon shahar,1703401,1703401060.0,2422.523502913,274114.8898003825,sholdirama 10son mfy,,,,,,
69,Andijon viloyati,Sog‘lom turmush MFY,1703,Andijon shahar,1703401,1703401055.0,3918.7833706205,465263.4367366346,soglom turmush mfy,,,,,,
112,Andijon viloyati,Alisher Navoiy MFY,1703,Xonabod shahar,1703408,1703408013.0,11565.812594563,3045236.9968609307,alisher navoiy mfy,,,,,,
132,Andijon viloyati,Nurzamin MFY,1703,Buloqboshi tumani,1703210,1703210015.0,12115.2314863336,3426189.405041331,nurzamin mfy,,,,,,
133,Andijon viloyati,Sarbontepa MFY,1703,Buloqboshi tumani,1703210,1703210020.0,29636.0040605497,29533424.797701865,sarbontepa mfy,,,,,,
144,Andijon viloyati,BoyMFY,1703,Buloqboshi tumani,1703210,1703210010.0,10299.1195383524,3517087.709933623,boymfy,,,,,,
145,Andijon viloyati,M.Ismoiliy MFY,1703,Buloqboshi tumani,1703210,1703210004.0,4325.2181945051,821235.7529511086,mismoiliy mfy,,,,,,
151,Andijon viloyati,Yangi O'zbekiston MFY,1703,Xonabod shahar,1703408,1703408016.0,7442.0633694389,1701965.8579306605,yangi ozbekiston mfy,,,,,,
167,Andijon viloyati,Guliston (Beshtol) MFY,1703,Jalaquduq tumani,1703211,1703211022.0,15627.0266108537,9431977.56568946,guliston beshtol mfy,,,,,,
179,Andijon viloyati,Xasanqovoq MFY,1703,Jalaquduq tumani,1703211,1703211031.0,10664.322606977,5194840.88071364,hasanqovoq mfy,,,,,,
183,Andijon viloyati,Oxunboboev MFY,1703,Jalaquduq tumani,1703211,1703211058.0,17477.1072917354,11372231.7440271,ohunboboev mfy,,,,,,
186,Andijon viloyati,Ittifoq Yujniy MFY,1703,Jalaquduq tumani,1703211,1703211063.0,58181.3601874517,50061969.10541309,ittifoq yujniy mfy,,,,,,
192,Andijon viloyati,O‘rg‘i MFY,1703,Jalaquduq tumani,1703211,1703211015.0,14765.8145031856,5949246.275343906,orgi mfy,,,,,,
196,Andijon viloyati,Qorayontoq MFY,1703,Jalaquduq tumani,1703211,1703211011.0,17213.3286414281,9392923.189788738,qorayontoq mfy,,,,,,
201,Andijon viloyati,Navoiy Yujniy MFY,1703,Jalaquduq tumani,1703211,1703211062.0,8718.7571747143,1548998.6572437524,navoiy yujniy mfy,,,,,,
205,Andijon viloyati,Yangichek MFY,1703,Jalaquduq tumani,1703211,1703211061.0,5463.1819940599,1143693.0366900477,yangichek mfy,,,,,,
229,Andijon viloyati,Qo`qonqishloq MFY,1703,Paxtaobod tumani,1703232,1703232005.0,4478.4019086182,564122.733913679,qoqonqishloq mfy,,,,,,
244,Andijon viloyati,Soy bo`yi MFY,1703,Paxtaobod tumani,1703232,1703232021.0,10571.0370604447,2701380.8984658616,soy boyi mfy,,,,,,
286,Andijon viloyati,Yangiobod MFY,1703,Paxtaobod tumani,1703232,1703232065.0,21029.9847549601,15014637.496546373,yangiobod mfy,,,,,,
296,Andijon viloyati,Qovoqto‘pi MFY,1703,Asaka tumani,1703224,1703224022.0,12026.6292298903,5465461.273454147,qovoqtopi mfy,,,,,,
309,Andijon viloyati,Abu Ali Ibn Sino MFY,1703,Asaka tumani,1703224,1703224010.0,8911.5647100625,1006515.570639748,abu ali ibn sino mfy,,,,,,
317,Andijon viloyati,Alisher Navoiy MFY,1703,Asaka tumani,1703224,1703224057.0,23165.6153150088,14474697.903352004,alisher navoiy mfy,,,,,,
340,Andijon viloyati,Do‘rmon MFY,1703,Asaka tumani,1703224,1703224067.0,11258.9795199193,4219518.628152992,dormon mfy,,,,,,
360,Andijon viloyati,Saydobod MFY,1703,Asaka tumani,1703224,1703224056.0,42875.7403276119,40921054.76758065,saydobod mfy,,,,,,
364,Andijon viloyati,Muqumiy MFY,1703,Asaka tumani,1703224,1703224011.0,8059.272561806,1784787.352756839,muqumiy mfy,,,,,,
372,Andijon viloyati,BoyMFY,1703,Izboskan tumani,1703214,1703214033.0,14308.7098110834,7728018.090619368,boymfy,,,,,,
387,Andijon viloyati,Oq oltin MFY,1703,Izboskan tumani,1703214,1703214058.0,10579.2623051551,4692490.044202401,oq oltin mfy,,,,,,
417,Andijon viloyati,Kugay MFY,1703,Izboskan tumani,1703214,1703214022.0,24838.6871552485,17137715.58194832,kugay mfy,,,,,,
419,Andijon viloyati,A.Navoiy MFY,1703,Izboskan tumani,1703214,1703214032.0,4617.434101895,918710.06148753,anavoiy mfy,,,,,,
420,Andijon viloyati,Z.M.Bobur MFY,1703,Izboskan tumani,1703214,1703214053.0,4685.8377502648,865817.5220817052,zmbobur mfy,,,,,,
422,Andijon viloyati,Qashqarliq MFY,1703,Izboskan tumani,1703214,1703214006.0,6769.2151038699,1474747.2073015007,qashqarliq mfy,,,,,,
428,Andijon viloyati,Oq tepa MFY,1703,Oltinko'l tumani,1703202,1703202034.0,11894.9503218884,5991072.42216924,oq tepa mfy,,,,,,
440,Andijon viloyati,Sharq-yulduzi MFY,1703,Oltinko'l tumani,1703202,1703202027.0,12538.1285210506,6297115.205610727,sharqyulduzi mfy,,,,,,
452,Andijon viloyati,Ittifoq (Maslaxat) MFY,1703,Oltinko'l tumani,1703202,1703202033.0,10696.0764383986,3051662.95391449,ittifoq maslahat mfy,,,,,,
480,Andijon viloyati,Yangichek MFY,1703,Oltinko'l tumani,1703202,1703202006.0,7251.5293434737,1483131.450913686,yangichek mfy,,,,,,
495,Andijon viloyati,Yangi obod MFY,1703,Bo'ston tumani,1703209,1703209005.0,28571.3034904156,31205818.60815072,yangi obod mfy,,,,,,
500,Andijon viloyati,Xalkobod MFY,1703,Bo'ston tumani,1703209,1703209010.0,25896.1296758803,28956583.34673708,halkobod mfy,,,,,,
511,Andijon viloyati,Alchazor MFY,1703,Baliqchi tumani,1703206,1703206035.0,24954.5999934575,21763315.38023892,alchazor mfy,,,,,,
516,Andijon viloyati,Do‘ngsaroy MFY,1703,Baliqchi tumani,1703206,1703206022.0,22992.8998171966,10748723.224493785,dongsaroy mfy,,,,,,
521,Andijon viloyati,Istiqlol MFY,1703,Baliqchi tumani,1703206,1703206025.0,7272.0388454493,1484005.0472546527,istiqlol mfy,,,,,,
525,Andijon viloyati,Muqanna MFY,1703,Baliqchi tumani,1703206,1703206026.0,15470.1822130299,10044769.29799831,muqanna mfy,,,,,,
526,Andijon viloyati,Mumtoz MFY,1703,Baliqchi tumani,1703206,1703206027.0,22917.5352718235,13972999.077012084,mumtoz mfy,,,,,,
531,Andijon viloyati,Sirmoq MFY,1703,Baliqchi tumani,1703206,1703206015.0,16480.0355997186,8637586.97123634,sirmoq mfy,,,,,,
535,Andijon viloyati,O‘rta qo‘rg‘on MFY,1703,Baliqchi tumani,1703206,1703206046.0,28836.864824704,20015933.46759026,orta qorgon mfy,,,,,,
544,Andijon viloyati,Aʼlam MFY,1703,Baliqchi tumani,1703206,1703206002.0,36725.263718684,15445513.20818192,aʼlam mfy,,,,,,
563,Andijon viloyati,Oq qo‘rg‘on MFY,1703,Baliqchi tumani,1703206,1703206044.0,5852.3951394378,1766513.2807957851,oq qorgon mfy,,,,,,
566,Andijon viloyati,Avesto MFY,1703,Baliqchi tumani,1703206,1703206034.0,9582.6295485945,3021287.1504391907,avesto mfy,,,,,,
567,Andijon viloyati,Oq tepa MFY,1703,Baliqchi tumani,1703206,1703206013.0,15904.4128958413,6765262.630882204,oq tepa mfy,,,,,,
572,Andijon viloyati,Iftixor MFY,1703,Baliqchi tumani,1703206,1703206053.0,7844.811599377,1810028.5708459248,iftihor mfy,,,,,,
592,Andijon viloyati,Qoraqolpoq MFY,1703,Andijon tumani,1703203,1703203057.0,13514.9046693883,5590545.015952355,qoraqolpoq mfy,,,,,,
594,Andijon viloyati,Yangi obod MFY,1703,Andijon tumani,1703203,1703203050.0,15332.3018902336,11015901.512541542,yangi obod mfy,,,,,,
609,Andijon viloyati,Doʻdir MFY,1703,Andijon tumani,1703203,1703203011.0,15175.8439620166,5498935.037891044,dodir mfy,,,,,,
622,Andijon viloyati,Chem MFY,1703,Andijon tumani,1703203,1703203031.0,14425.2053954581,4438343.274723548,chem mfy,,,,,,
633,Andijon viloyati,Polason MFY,1703,Andijon tumani,1703203,1703203001.0,8985.0975321015,2207629.7148612486,polason mfy,,,,,,
