uuid,id,name_en,name_ru,parentid,soatoid,extid,ovirid,region_id_soato,region_name_soato,region_id_cadastre,region_name_cadastre
827c5de0-cd06-445b-96c2-3067b1927069,1703,Andijon viloyati,Андижанская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,17,17,17,1703,Андижанская область,1703,Andijon viloyati
56bea03e-764e-4e04-9de0-528810177aad,1706,Buxoro viloyati,Бухарская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,20,20,20,1706,Бухарская область,1706,Buxoro viloyati
e1e75f54-0d2d-42d4-993d-0f69c64b8d15,1708,Jizzax viloyati,Джизакская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,13,13,13,1708,Джизакская область,1708,Jizzax viloyati
adc9cf99-7810-49aa-9509-617c4f240c7f,1710,Qashqadaryo viloyati,Кашкадарьинская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,18,18,18,1710,Кашкадарьинская область,1710,Qashqadaryo viloyati
9c6033ca-7c00-41a3-81c9-2017210e7727,1712,Navoiy viloyati,Навоийская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,21,21,21,1712,Навоийская область,1712,Navoiy viloyati
3edbada6-7d3f-4291-a003-61b9d82f9496,1714,Namangan viloyati,Наманганская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,16,16,16,1714,Наманганская область,1714,Namangan viloyati
e4d831f3-9ce3-4201-81d1-dcb5fa0ae845,1735,Qoraqalpogiston Respublikasi,Республика Каракалпакстан,0e1c82c0-aadd-4eb8-b4da-6343188170a5,23,23,23,1735,Республика Каракалпакстан,1735,Qoraqalpogiston Respublikasi
b0ec35e2-4b94-4e04-b5b8-f786de08d855,1718,Samarqand viloyati,Самаркандская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,14,14,14,1718,Самаркандская область,1718,Samarqand viloyati
e33c7e49-f4f8-4269-a5d4-8952bd54f57a,1722,Surxondaryo viloyati,Сурхандарьинская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,19,19,19,1722,Сурхандарьинская область,1722,Surxondaryo viloyati
35f5f075-5766-414c-8d81-ca88faa099af,1724,Sirdaryo viloyati,Сырдарьинская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,12,12,12,1724,Сырдарьинская область,1724,Sirdaryo viloyati
b7c00816-aeaa-4427-becf-d16fcd6c67ed,1727,Toshkent viloyati,Ташкентская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,11,11,11,1727,Ташкентская область,1727,Toshkent viloyati
405cf1cd-7a93-4443-8970-99d9264ccc1a,1730,Fargona viloyati,Ферганская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,15,15,15,1730,Ферганская область,1730,Fargona viloyati
9b3a75c9-b02e-478f-983c-ce269ee3cb20,1733,Xorazm viloyati,Хорезмская область,0e1c82c0-aadd-4eb8-b4da-6343188170a5,22,22,22,1733,Хорезмская область,1733,Xorazm viloyati
22af9341-ddad-48cb-b1a8-4e809f0de311,1726,Toshkent shahar,г. Ташкент,0e1c82c0-aadd-4eb8-b4da-6343188170a5,10,10,10,1726,г. Ташкент,1726,Toshkent shahar
