tin,name,countryside_id,sector,district_id
202935253,MADENIYAT,324,4,1735243
202673485,YANGIOBOD,3629,3,1714224
202675997,PORLOQ,3625,3,1714224
202678114,BAXT,3614,3,1714224
202704556,GULISTON,3615,3,1714224
202673343,YORTEPA,3616,3,1714224
202681849,KICHIK QOʻRGʻONCHA,3618,3,1714224
202676085,KUJRON,3619,3,1714224
202675980,KUYMOZOR,3620,3,1714224
202676046,OLCHIN,3642,4,1714224
202673422,SAROY,3643,4,1714224
202675941,BOGʻISHAMOL,3631,4,1714224
202675934,DUKAT,3634,4,1714224
202675894,SHOVON,3650,4,1714224
202675926,OʻRTAQISHLOQ,3648,4,1714224
202673328,OʻZBEKISTON,3647,4,1714224
202675919,TEMIRQISHLOQ,3645,4,1714224
202676039,MAJNUNTOL,3640,4,1714224
205167305,ILGALDI,8435,4,1733212
206985925,IJTIMOIYAT,8646,1,1733230
204793913,SHIRIN,2558,3,1710233
202673224,BAHORISTON,2549,3,1710233
207001390,GULOBOD,2550,3,1710233
206164166,TINCHLIK,2553,3,1710233
205598354,ISTIQLOL,2564,4,1710233
200701775,GULISTON,2563,4,1710233
203103630,SHODLIK,2567,4,1710233
207187270,YAHGI XAYOT,2839,1,1710250
200710804,CHAYDARI,2837,1,1710250
206850484,PAXTAKOR,2833,1,1710250
202668284,OBOD,2832,1,1710250
202668300,JIYDA,2829,1,1710250
203038839,SOVUQBULOQ,2850,2,1710250
305062078,FAROVONLIK,2852,2,1710250
203039970,XOʻJAILGʻOR,2853,2,1710250
203023651,CHIMQOʻRGʻON,2847,2,1710250
207180771,ISTIQLOL,2846,2,1710250
202668221,JAMBUL,2844,2,1710250
202922776,SAXOVAT,5932,1,1724206
304965624,XOʻJA,6294,1,1727224
304965268,BOYTERAK,6293,1,1727224
303199708,QORABOY,6292,1,1727224
303365778,GULOBOD,6290,1,1727224
202941999,DAXANA,6298,1,1727224
303485139,S.RAXIMOV,6307,2,1727224
303209391,XOʻJAKENT,6308,2,1727224
303210528,XUMSON,6311,2,1727224
202997969,BOʻSTON,6313,2,1727224
303267733,KICHIKSOY,6302,2,1727224
303209660,TOVOQSOY,6318,3,1727224
303187793,TOLEBI,6320,3,1727224
303187801,BUNYODKOR,6321,3,1727224
207187381,MAST,8428,3,1733212
207181328,AYRONKOʻL,8427,3,1733212
207187739,YOVGʻUR,8426,3,1733212
207108351,MADANIYAT,8423,3,1733212
204785273,YANGILIK,8420,3,1733212
207240712,AMIRQUM,8431,4,1733212
207250344,BEKOBOD,8443,4,1733212
207189158,DOʻSTLIK,8442,4,1733212
206818474,BOGʻZOR,8440,4,1733212
207187058,YOSHLIK,8439,4,1733212
205319842,BOʻRLOQ,8432,4,1733212
303910179,CHORSHANBA,2724,2,1710242
302778074,MAʻNAVIYAT,5962,2,1724212
202890264,IJODKOR,5961,2,1724212
202832532,OʻRTA CHARXIN,4569,2,1718227
202832793,CHORTUT,4572,2,1718227
202832524,SHOMBULOQ,4573,2,1718227
203122172,BESHBOLA,4549,2,1718227
202832595,GULAKANDOZ,4550,2,1718227
204882572,YANGI AVLOD,4600,3,1718227
202832643,OLMAZOR,4590,3,1718227
206007652,BOBUR,4576,3,1718227
202832453,GALATUT,4577,3,1718227
202832421,GUMBAZ,4579,3,1718227
202832667,OQ MANGʻIT,4589,3,1718227
203091309,QOʻSHRABOT,4377,3,1718216
203091119,QOʻRALOS,10657,4,1718216
203411328,BOYPOʻRISHLI,10651,4,1718216
203313464,BOSHCHOʻROSH,4457,1,1718224
202956171,OQTOSH,4465,1,1718224
